index,area,pop,sex,year
334,HRV,2149.89005041,male,2010
335,HRV,2318.44019044,female,2010
336,HUN,5040.52382092,male,1990
337,HUN,5469.43201684,female,1990
338,HUN,4836.15138007,male,2005
339,HUN,5366.86518925,female,2005
340,HUN,4787.76470933,male,2010
341,HUN,5296.62135802,female,2010
342,MKD,965.84983815,male,1990
343,MKD,958.175317274,female,1990
344,MKD,1029.89601194,male,2005
345,MKD,1027.88501119,female,2005
346,MKD,1042.4015612,male,2010
347,MKD,1040.10224305,female,2010
348,MNE,291.177963438,male,1990
349,MNE,295.527049099,female,1990
350,MNE,311.089755645,male,2005
351,MNE,323.27155882,female,2005
352,MNE,313.036222286,male,2010
353,MNE,325.555073031,female,2010
354,POL,18695.7473223,male,1990
355,POL,19701.4482402,female,1990
356,POL,18657.2822503,male,2005
357,POL,19963.0715422,female,2005
358,POL,18591.1567086,male,2010
359,POL,19923.5702264,female,2010
360,ROU,11494.3738658,male,1990
361,ROU,11843.3258324,female,1990
362,ROU,10740.0066137,male,2005
363,ROU,11351.5243067,female,2005
364,ROU,10553.8889206,male,2010
365,ROU,11216.9361069,female,2010
366,SRB,4797.02379684,male,1990
367,SRB,4873.52036265,female,1990
368,SRB,4945.32525091,male,2005
369,SRB,5075.37960313,female,2005
370,SRB,4939.5165808,male,2010
371,SRB,5054.9023655,female,2010
372,SVK,2595.64222236,male,1990
373,SVK,2722.78624095,female,1990
374,SVK,2635.09225668,male,2005
375,SVK,2803.54207263,female,2005
376,SVK,2651.54369312,male,2010
377,SVK,2810.22596263,female,2010
378,SVN,972.776027703,male,1990
379,SVN,1036.12187657,female,1990
380,SVN,990.496341073,male,2005
381,SVN,1035.4127342,female,2005
382,SVN,1019.7848527,male,2010
383,SVN,1039.36136629,female,2010
384,BLR,4786.28765915,male,1990
385,BLR,5443.64447284,female,1990
386,BLR,4633.40095896,male,2005
387,BLR,5314.01728345,female,2005
388,BLR,4512.30075512,male,2010
389,BLR,5190.6220057,female,2010
390,EST,735.29783695,male,1990
391,EST,840.026331272,female,1990
392,EST,628.464293888,male,2005
393,EST,738.991153068,female,2005
394,EST,623.901694144,male,2010
395,EST,730.548064346,female,2010
396,LTU,1749.2840914,male,1990
397,LTU,1955.69037051,female,1990
398,LTU,1612.34689874,male,2005
399,LTU,1853.47800213,female,2005
400,LTU,1568.60894941,male,2010
401,LTU,1807.88446389,female,2010
402,LVA,1237.77835059,male,1990
403,LVA,1432.27141184,female,1990
404,LVA,1073.09057328,male,2005
405,LVA,1262.13073873,female,2005
406,LVA,1049.19302325,male,2010
407,LVA,1224.59392928,female,2010
408,MDA,2093.57353313,male,1990
409,MDA,2303.17488047,female,1990
410,MDA,1827.62018244,male,2005
411,MDA,2019.09016651,female,2005
412,MDA,1711.23902746,male,2010
413,MDA,1898.79593633,female,2010
414,RUS,69399.3752568,male,1990
415,RUS,79392.2854951,female,1990
416,RUS,67247.029868,male,2005
417,RUS,78266.3536507,female,2005
418,RUS,65825.8614538,male,2010
419,RUS,76690.6964563,female,2010
420,UKR,23984.918019,male,1990
421,UKR,28102.193965,female,1990
422,UKR,21993.1271681,male,2005
423,UKR,25795.6663471,female,2005
424,UKR,21182.1813307,male,2010
425,UKR,24788.2612894,female,2010
426,AND,25.7479533937,male,1990
427,AND,27.1568666389,female,1990
428,AND,37.1415725012,male,2005
429,AND,38.639010354,female,2005
430,AND,41.3729616343,male,2010
431,AND,42.7314443346,female,2010
432,AUT,3705.20639622,male,1990
433,AUT,4046.6537823,female,1990
434,AUT,4040.861993,male,2005
435,AUT,4251.61410818,female,2005
436,AUT,4097.70721375,male,2010
437,AUT,4276.24789516,female,2010
438,BEL,4904.69286856,male,1990
439,BEL,5129.93760472,female,1990
440,BEL,5188.36759063,male,2005
441,BEL,5397.82488292,female,2005
442,BEL,5348.1307394,male,2010
443,BEL,5532.9290129,female,2010
444,CHE,3307.69231579,male,1990
445,CHE,3463.23017491,female,1990
446,CHE,3669.88276625,male,2005
447,CHE,3813.97553098,female,2005
448,CHE,3761.89563942,male,2010
449,CHE,3874.17344211,female,2010
450,CYP,319.574293473,male,1990
451,CYP,327.552320788,female,1990
452,CYP,366.602591298,male,2005
453,CYP,377.318435428,female,2005
454,CYP,376.184493597,male,2010
455,CYP,386.959503405,female,2010
456,DEU,38393.8157003,male,1990
457,DEU,41512.0674486,female,1990
458,DEU,40931.6638022,male,2005
459,DEU,42483.6067357,female,2005
460,DEU,40825.1605144,male,2010
461,DEU,42125.518464,female,2010
462,DNK,2560.06479865,male,1990
463,DNK,2630.7268217,female,1990
464,DNK,2701.45506677,male,2005
465,DNK,2742.73082879,female,2005
466,DNK,2754.7844371,male,2010
467,DNK,2783.39075249,female,2010
468,ESP,19194.525178,male,1990
469,ESP,20013.6928365,female,1990
470,ESP,21587.6132485,male,2005
471,ESP,22196.2313951,female,2005
472,ESP,22197.4441029,male,2010
473,ESP,22736.2856112,female,2010
474,FIN,2441.97092751,male,1990
475,FIN,2598.40809095,female,1990
476,FIN,2597.53388099,male,2005
477,FIN,2701.62995658,female,2005
478,FIN,2649.00627499,male,2010
479,FIN,2733.1207691,female,2010
480,FRA,27840.6467714,male,1990
481,FRA,29287.7766523,female,1990
482,FRA,29945.8278057,male,2005
483,FRA,31551.0793686,female,2005
484,FRA,30775.2885508,male,2010
485,FRA,32269.019624,female,2010
486,GBR,28134.2404878,male,1990
487,GBR,29695.0961198,female,1990
488,GBR,29752.5333672,male,2005
489,GBR,30850.6103296,female,2005
490,GBR,30726.391881,male,2010
491,GBR,31563.6337239,female,2010
492,GRC,5045.94942906,male,1990
493,GRC,5197.76726124,female,1990
494,GRC,5613.99209687,male,2005
495,GRC,5760.90445145,female,2005
496,GRC,5687.31799208,male,2010
497,GRC,5807.93565973,female,2010
498,IRL,1768.70716125,male,1990
499,IRL,1784.11013684,female,1990
500,IRL,2098.42963163,male,2005
501,IRL,2098.29561543,female,2005
502,IRL,2254.43991694,male,2010
503,IRL,2269.6158253,female,2010
504,ISL,128.708233955,male,1990
505,ISL,127.694041015,female,1990
506,ISL,150.33621028,male,2005
507,ISL,148.330162463,female,2005
508,ISL,164.485330438,male,2010
509,ISL,158.73310348,female,2010
510,ISR,2343.75338788,male,1990
511,ISR,2369.82967824,female,1990
512,ISR,3446.62199741,male,2005
513,ISR,3535.75690527,female,2005
514,ISR,3760.3105517,male,2010
515,ISR,3832.99226855,female,2010
516,ITA,27912.1744835,male,1990
517,ITA,29616.6664133,female,1990
518,ITA,28772.59442,male,2005
519,ITA,30374.8377469,female,2005
520,ITA,29368.8022101,male,2010
521,ITA,30856.9507487,female,2010
522,LUX,188.444707905,male,1990
523,LUX,196.395414453,female,1990
524,LUX,227.98154705,male,2005
525,LUX,233.033927125,female,2005
526,LUX,250.281006451,male,2010
527,LUX,252.199277743,female,2010
528,MLT,182.597641363,male,1990
529,MLT,187.596033049,female,1990
530,MLT,204.559379259,male,2005
531,MLT,208.357721689,female,2005
532,MLT,208.090785426,male,2010
533,MLT,211.282857365,female,2010
534,NLD,7443.25725766,male,1990
535,NLD,7609.68584751,female,1990
536,NLD,8136.23226718,male,2005
537,NLD,8278.66147444,female,2005
538,NLD,8276.68233889,male,2010
539,NLD,8390.80398818,female,2010
540,NOR,2119.24299664,male,1990
541,NOR,2164.00765346,female,1990
542,NOR,2308.23040635,male,2005
543,NOR,2329.78230725,female,2005
544,NOR,2431.65290259,male,2010
545,NOR,2419.86802305,female,2010
546,PRT,4839.27224849,male,1990
547,PRT,5202.27497548,female,1990
548,PRT,5163.39622567,male,2005
549,PRT,5508.73296741,female,2005
550,PRT,5205.23017783,male,2010
551,PRT,5540.92165251,female,2010
552,SWE,4280.07453712,male,1990
553,SWE,4373.70555291,female,1990
554,SWE,4505.95043421,male,2005
555,SWE,4555.48384366,female,2005
556,SWE,4640.79607425,male,2010
557,SWE,4650.06583969,female,2010
558,BOL,3330.70654857,male,1990
559,BOL,3391.57541347,female,1990
560,BOL,4575.28570143,male,2005
561,BOL,4622.85025574,female,2005
562,BOL,4981.06132086,male,2010
563,BOL,5008.37085191,female,2010
564,ECU,5195.38866322,male,1990
565,ECU,5133.82438195,female,1990
566,ECU,6762.12014846,male,2005
567,ECU,6718.08596576,female,2005
568,ECU,7276.93057338,male,2010
569,ECU,7248.77153896,female,2010
570,PER,10959.3903415,male,1990
571,PER,10873.1956757,female,1990
572,PER,13892.5124616,male,2005
573,PER,13814.3394004,female,2005
574,PER,14649.7932117,male,2010
575,PER,14582.0307517,female,2010
576,COL,16565.7671556,male,1990
577,COL,16836.7112468,female,1990
578,COL,21288.6283718,male,2005
579,COL,21930.7476427,female,2005
580,COL,22853.9338881,male,2010
581,COL,23600.9734333,female,2010
582,CRI,1564.66523212,male,1990
583,CRI,1512.4747555,female,1990
584,CRI,2193.50751559,male,2005
585,CRI,2124.58985092,female,2005
586,CRI,2373.01515039,male,2010
587,CRI,2301.3826901,female,2010
588,GTM,4546.52639077,male,1990
589,GTM,4477.85524004,female,1990
590,GTM,6253.70659492,male,2005
591,GTM,6553.80133277,female,2005
592,GTM,7065.79485442,male,2010
593,GTM,7421.91913587,female,2010
594,HND,2472.91134543,male,1990
595,HND,2459.25736824,female,1990
596,HND,3452.15636838,male,2005
597,HND,3467.84741638,female,2005
598,HND,3821.87969578,male,2010
599,HND,3822.41608333,female,2010
600,MEX,42051.6835941,male,1990
601,MEX,42701.4564946,female,1990
602,MEX,52816.3039834,male,2005
603,MEX,54165.7154347,female,2005
604,MEX,56166.1049456,male,2010
605,MEX,57710.630856,female,2010
606,NIC,2074.14852012,male,1990
607,NIC,2083.5079081,female,1990
608,NIC,2704.22438798,male,2005
609,NIC,2742.21685729,female,2005
610,NIC,2870.48886228,male,2010
611,NIC,2930.41204879,female,2010
612,PAN,1229.15253478,male,1990
613,PAN,1200.42213249,female,1990
614,PAN,1640.40928575,male,2005
615,PAN,1613.21861021,female,2005
616,PAN,1780.35604034,male,2010
617,PAN,1752.63275177,female,2010
618,SLV,2610.98300247,male,1990
619,SLV,2757.32334469,female,1990
620,SLV,2903.25539133,male,2005
621,SLV,3172.37570949,female,2005
622,SLV,2951.64322512,male,2010
623,SLV,3263.92527594,female,2010
624,VEN,9959.27584363,male,1990
625,VEN,9790.63679052,female,1990
626,VEN,13461.6361592,male,2005
627,VEN,13329.452036,female,2005
628,VEN,14604.3875771,male,2010
629,VEN,14500.586932,female,2010
630,ARG,16130.9349935,male,1990
631,ARG,16767.1658543,female,1990
632,ARG,19080.7693011,male,2005
633,ARG,19913.1952197,female,2005
634,ARG,19902.5110344,male,2010
635,ARG,20759.6939548,female,2010
636,CHL,6543.29736,male,1990
637,CHL,6709.58167662,female,1990
638,CHL,7782.73145147,male,2005
639,CHL,8012.91743508,female,2005
640,CHL,8120.72741934,male,2010
641,CHL,8347.21448388,female,2010
642,URY,1522.05398226,male,1990
643,URY,1618.22311562,female,1990
644,URY,1620.27966177,male,2005
645,URY,1735.91637388,female,2005
646,URY,1640.34738989,male,2010
647,URY,1755.44556773,female,2010
648,BRA,74623.8693946,male,1990
649,BRA,75619.3393778,female,1990
650,BRA,91979.7234324,male,2005
651,BRA,94555.2255975,female,2005
652,BRA,96343.2830685,male,2010
653,BRA,99425.0041762,female,2010
654,PRY,2161.59385971,male,1990
655,PRY,2115.30196181,female,1990
656,PRY,2999.43881658,male,2005
657,PRY,2932.56132504,female,2005
658,PRY,3275.4895694,male,2010
659,PRY,3214.00955618,female,2010
660,AFG,7071.16361646,male,1990
661,AFG,6577.53741859,female,1990
662,AFG,14512.5522653,male,2005
663,AFG,13542.9838987,female,2005
664,AFG,16572.4829244,male,2010
665,AFG,15479.6090976,female,2010
666,ARE,1184.0868054,male,1990
667,ARE,622.731820948,female,1990
668,ARE,2792.93789715,male,2005
669,ARE,1293.85829392,female,2005
670,ARE,5219.34488486,male,2010
671,ARE,2283.93450074,female,2010
672,BHR,287.135386766,male,1990
673,BHR,210.885406715,female,1990
674,BHR,424.962218427,male,2005
675,BHR,316.118171989,female,2005
676,BHR,794.433153206,male,2010
677,BHR,480.025924059,female,2010
678,DZA,12811.2554203,male,1990
679,DZA,12630.4937971,female,1990
680,DZA,16685.0398196,male,2005
681,DZA,16389.8006909,female,2005
682,DZA,17997.1857701,male,2010
683,DZA,17668.4138673,female,2010
684,EGY,28730.0954536,male,1990
685,EGY,28424.6985873,female,1990
686,EGY,37526.1640869,male,2005
687,EGY,37147.2191054,female,2005
688,EGY,40948.3063407,male,2010
689,EGY,40643.6984019,female,2010
690,IRN,27668.390222,male,1990
691,IRN,27138.4610556,female,1990
692,IRN,35937.9433077,male,2005
693,IRN,34632.8279135,female,2005
694,IRN,37760.6936686,male,2010
695,IRN,36608.3400298,female,2010
696,IRQ,8679.12412844,male,1990
697,IRQ,8816.89669229,female,1990
698,IRQ,13823.6018633,male,2005
699,IRQ,13745.0118383,female,2005
700,IRQ,15973.8691252,male,2010
701,IRQ,15883.6113368,female,2010
702,JOR,1781.09131961,male,1990
703,JOR,1616.21777979,female,1990
704,JOR,2786.96564206,male,2005
705,JOR,2600.61770238,female,2005
706,JOR,3153.95796749,male,2010
707,JOR,2978.11472046,female,2010
708,KWT,1102.77482855,male,1990
709,KWT,968.291520776,female,1990
710,KWT,1365.51527348,male,2005
711,KWT,912.510243558,female,2005
712,KWT,1613.85217404,male,2010
713,KWT,1084.31915849,female,2010
714,LBN,1450.01656951,male,1990
715,LBN,1535.95769383,female,1990
716,LBN,1997.64531721,male,2005
717,LBN,2088.19775551,female,2005
718,LBN,2080.90679489,male,2010
719,LBN,2178.73368568,female,2010
720,LBY,2283.64403878,male,1990
721,LBY,2070.69735548,female,1990
722,LBY,2957.74956619,male,2005
723,LBY,2837.04389083,female,2005
724,LBY,3235.51913146,male,2010
725,LBY,3142.93895608,female,2010
726,MAR,12442.3835244,male,1990
727,MAR,12492.8017334,female,1990
728,MAR,15080.8312245,male,2005
729,MAR,15533.2400909,female,2005
730,MAR,15752.9534735,male,2010
731,MAR,16359.4571271,female,2010
732,OMN,1047.0958412,male,1990
733,OMN,841.095840349,female,1990
734,OMN,1345.67327428,male,2005
735,OMN,1098.37057306,female,2005
736,OMN,1618.25926451,male,2010
737,OMN,1131.00204597,female,2010
738,PSE,1068.42992118,male,1990
739,PSE,1042.27637461,female,1990
740,PSE,1817.79794918,male,2005
741,PSE,1765.34453259,female,2005
742,PSE,2062.97271474,male,2010
743,PSE,2001.95283105,female,2010
744,QAT,318.269181045,male,1990
745,QAT,156.767771549,female,1990
746,QAT,555.751872479,male,2005
747,QAT,271.581861768,female,2005
748,QAT,1332.6442017,male,2010
749,QAT,429.290369407,female,2010
750,SAU,9076.78444871,male,1990
751,SAU,7117.03575941,female,1990
752,SAU,13520.7011562,male,2005
753,SAU,10588.6405938,female,2005
754,SAU,15066.176568,male,2010
755,SAU,12121.8977028,female,2010
756,SYR,6231.5652442,male,1990
757,SYR,6150.42174392,female,1990
758,SYR,9272.03989905,male,2005
759,SYR,8968.21080984,female,2005
760,SYR,10244.986144,male,2010
761,SYR,10016.8162782,female,2010
762,TUN,4162.75340701,male,1990
763,TUN,4097.95015798,female,1990
764,TUN,5011.38443905,male,2005
765,TUN,4997.41083394,female,2005
766,TUN,5281.16102072,male,2010
767,TUN,5281.78307654,female,2010
768,TUR,27305.3709004,male,1990
769,TUR,27245.4812007,female,1990
770,TUR,34234.2582278,male,2005
771,TUR,34390.1063141,female,2005
772,TUR,36459.024951,male,2010
773,TUR,36710.0579536,female,2010
774,YEM,6005.67652299,male,1990
775,YEM,6062.23525143,female,1990
776,YEM,10456.279105,male,2005
777,YEM,10336.1201051,female,2005
778,YEM,12184.3753143,male,2010
779,YEM,12030.0351872,female,2010
780,CAN,13808.8804209,male,1990
781,CAN,14041.0806111,female,1990
782,CAN,16092.3764515,male,2005
783,CAN,16323.3593619,female,2005
784,CAN,16665.3468077,male,2010
785,CAN,16838.7139778,female,2010
786,USA,122815.419452,male,1990
